date,tair_c,rh_percent,dir_deg_t,speed_km_hr,pressure,density,wd_cardinal
7/11/2010,11,82,148,16,1022,1.248,Southeast
21/11/2010,12,76,152,23,1010,1.229,Southeast
28/11/2010,17,78,34,24,1018,1.216,Northeast
30/11/2010,14,87,169,19,1020,1.23,South
7/12/2010,12,71,168,14,1018,1.242,South
14/12/2010,16,76,38,22,1015,1.215,Northeast
21/12/2010,25,32,314,36,999,1.163,Northwest
25/01/2011,18,84,185,15,1010,1.199,South
1/02/2011,19,45,40,28,1006,1.195,Northeast
1/08/2011,5,79,10,10,1020,1.273,North
12/10/2011,16,58,30,17,1005,1.207,Northeast
18/10/2011,8,84,254,29,1000,1.236,West
19/10/2011,8,78,178,29,1011,1.248,South
20/03/2012,12,70,42,12,1025,1.25,Northeast
12/10/2012,16,48,18,23,999,1.2,North
16/10/2012,11,78,24,20,1004,1.227,Northeast
23/10/2012,9,76,166,13,1015,1.25,South
29/10/2012,14,68,34,27,1014,1.225,Northeast
30/10/2012,14,75,24,16,1011,1.221,Northeast
6/11/2012,8,62,174,14,1028,1.27,South
13/11/2012,9,74,40,18,1013,1.246,Northeast
20/11/2012,12,76,30,14,1017,1.239,Northeast
4/12/2012,20,53,336,22,995,1.176,Northwest
11/12/2012,15,69,37,19,1025,1.233,Northeast
18/12/2012,14,92,124,8,1006,1.211,Southeast
22/01/2013,18,81,22,26,1016,1.205,North
29/01/2013,19,78,30,19,1022,1.212,Northeast
5/02/2013,13,61,183,23,1020,1.236,South
12/02/2013,17,81,42,22,1007,1.203,Northeast
19/02/2013,20,47,38,34,1020,1.205,Northeast
26/02/2013,18,80,21,16,1023,1.215,North
5/03/2013,16,67,38,28,1012,1.212,Northeast
12/03/2013,15,74,44,17,1018,1.225,Northeast
19/03/2013,12,78,186,10,1017,1.239,South
26/03/2013,15,76,35,27,1023,1.229,Northeast
1/10/2013,15,62,8,17,1010,1.218,North
8/10/2013,4,96,250,10,1001,1.257,West
15/10/2013,11,58,39,20,994,1.215,Northeast
22/10/2013,10,96,23,8,1011,1.238,Northeast
29/10/2013,13,76,40,28,1010,1.225,Northeast
5/11/2013,15,77,194,17,1014,1.217,South
12/11/2013,12,76,42,7,1033,1.254,Northeast
13/11/2013,12,72,35,27,1027,1.251,Northeast
19/11/2013,14,83,42,34,1021,1.23,Northeast
26/11/2013,12,72,156,12,1012,1.232,Southeast
10/12/2013,16,82,40,22,1010,1.21,Northeast
14/01/2014,13,62,140,18,1015,1.23,Southeast
21/01/2014,15,86,48,20,1003,1.207,Northeast
28/01/2014,19,57,156,11,1018,1.209,Southeast
4/02/2014,17,87,196,23,1007,1.202,South
11/02/2014,16,76,24,17,1001,1.201,Northeast
18/02/2014,20,74,222,21,1012,1.193,Southwest
25/02/2014,14,88,42,23,1019,1.23,Northeast
11/03/2014,15,84,38,10,1024,1.233,Northeast
18/03/2014,16,92,183,10,1019,1.222,South
7/10/2014,10,74,40,34,1005,1.235,Northeast
14/10/2014,11,74,39,17,1020,1.246,Northeast
21/10/2014,13,68,48,11,1019,1.238,Northeast
28/10/2014,13,74,39,24,989,1.197,Northeast
4/11/2014,8,70,304,8,1019,1.258,Northwest
11/11/2014,15,44,330,17,987,1.19,Northwest
18/11/2014,17,27,316,30,994,1.193,Northwest
25/11/2014,19,70,42,25,995,1.178,Northeast
9/12/2014,21,48,322,21,1002,1.18,Northwest
14/12/2014,14,66,52,26,1015,1.228,Northeast
13/01/2015,17,82,55,15,1012,1.207,Northeast
20/01/2015,15,68,159,12,1017,1.222,South
27/01/2015,19,83,93,7,1013,1.199,East
3/02/2015,15,68,150,16,1002,1.207,Southeast
10/02/2015,16,68,42,23,1031,1.237,Northeast
17/02/2015,17,73,42,32,1021,1.22,Northeast
24/02/2015,19,78,38,26,1012,1.198,Northeast
3/03/2015,17,83,46,20,1011,1.206,Northeast
10/03/2015,17,82,36,20,1014,1.207,Northeast
17/03/2015,12,66,192,27,1004,1.224,South
24/03/2015,18,68,19,8,1010,1.2,North
31/03/2015,14,82,31,15,1019,1.229,Northeast
6/10/2015,19,60,26,10,1014,1.203,Northeast
13/10/2015,11,78,67,15,1012,1.237,Northeast
20/10/2015,15,54,36,22,1010,1.217,Northeast
27/10/2015,10,76,150,12,1019,1.252,Southeast
10/11/2015,19,66,22,19,1000,1.186,North
17/11/2015,10,79,162,18,1006,1.233,South
24/11/2015,23,54,181,21,1005,1.175,South
1/12/2015,18,92,26,23,1019,1.212,Northeast
8/12/2015,14,72,179,23,1011,1.22,South
19/01/2016,16,88,224,16,1006,1.204,Southwest
26/01/2016,14,97,204,14,1014,1.223,Southwest
2/02/2016,23,61,24,13,1015,1.185,Northeast
9/02/2016,16,70,164,30,1009,1.21,South
16/02/2016,24,44,41,24,1004,1.168,Northeast
23/02/2016,19,74,47,17,1015,1.204,Northeast
1/03/2016,13,63,156,17,1022,1.237,Southeast
8/03/2016,12,92,125,8,1017,1.237,Southeast
15/03/2016,14,96,196,22,1018,1.23,South
22/03/2016,20,70,32,12,1015,1.198,Northeast
29/03/2016,16,68,59,5,1014,1.216,Northeast
4/10/2016,13,84,13,19,992,1.204,North
11/10/2016,16,41,169,18,996,1.196,South
18/10/2016,19,44,317,22,1003,1.189,Northwest
25/10/2016,16,72,74,8,1002,1.201,East
1/11/2016,13,68,36,21,1003,1.214,Northeast
8/11/2016,14,62,36,31,1007,1.215,Northeast
15/11/2016,14,80,169,19,990,1.195,South
22/11/2016,21,53,28,23,1011,1.19,Northeast
29/11/2016,14,80,168,27,997,1.204,South
13/12/2016,14,78,40,29,1005,1.214,Northeast
10/01/2017,16,82,43,32,1007,1.207,Northeast
17/01/2017,26,35,297,22,998,1.156,Northwest
24/01/2017,19,66,31,19,1003,1.188,Northeast
31/01/2017,25,45,320,40,1002,1.163,Northwest
7/02/2017,15,64,52,9,1017,1.224,Northeast
14/02/2017,21,48,276,22,1002,1.181,West
17/02/2017,16,100,44,16,1022,1.222,Northeast
28/02/2017,18,80,NA,NA,1031,1.224,NA
7/03/2017,13,69,NA,NA,1016,1.233,NA
14/03/2017,12,82,204,18,1026,1.246,Southwest
10/10/2017,11,97,34,22,997,1.216,Northeast
17/10/2017,11,81,189,19,1020,1.247,South
24/10/2017,12,81,54,24,1005,1.22,Northeast
31/10/2017,17,76,42,18,1025,1.223,Northeast
7/11/2017,16,52,34,20,996,1.195,Northeast
21/11/2017,14,84,184,12,1023,1.237,South
5/12/2017,20,79,216,19,1016,1.2,Southwest
12/12/2017,14,81,64,12,1010,1.219,Northeast
28/12/2017,15,64,169,14,1021,1.23,South
16/01/2018,22,72,36,23,1011,1.183,Northeast
23/01/2018,22,62,44,27,1008,1.18,Northeast
13/02/2018,20,72,40,24,1007,1.188,Northeast
20/02/2018,12,96,168,17,1002,1.217,South
27/02/2018,14,76,61,17,1021,1.231,Northeast
13/03/2018,11,93,186,9,1003,1.223,South
21/03/2018,14,99,232,22,1018,1.227,Southwest
16/10/2018,11,78,38,24,1019,1.244,Northeast
23/10/2018,16,78,29,15,1019,1.219,Northeast
6/11/2018,16,66,40,20,1008,1.209,Northeast
13/11/2018,16,65,43,17,1024,1.23,Northeast
4/12/2018,19,50,326,22,989,1.176,Northwest
18/12/2018,22,46,319,23,1001,1.177,Northwest
15/01/2019,15,68,175,11,1016,1.223,South
22/01/2019,26,32,307,24,1001,1.159,Northwest
29/01/2019,19,88,27,18,1019,1.206,Northeast
5/02/2019,20,68,248,17,1009,1.191,West
12/02/2019,21,80,192,16,1002,1.177,South
19/02/2019,26,41,19,15,1003,1.161,North
26/02/2019,18,43,42,24,1014,1.209,Northeast
12/03/2019,24,56,107,9,1009,1.176,East
19/03/2019,17,84,47,18,1025,1.224,Northeast
26/03/2019,25,52,36,34,1004,1.166,Northeast
8/10/2019,18,62,33,10,1010,1.205,Northeast
15/10/2019,10,94,52,12,1011,1.236,Northeast
22/10/2019,9,92,142,12,992,1.218,Southeast
12/11/2019,11,74,51,22,1004,1.225,Northeast
19/11/2019,16,54,338,12,997,1.197,North
26/11/2019,22,46,190,11,1008,1.182,South
10/12/2019,15,74,50,31,1014,1.222,Northeast
17/12/2019,11,96,214,28,1002,1.224,Southwest
14/01/2020,15,64,52,24,1023,1.233,Northeast
21/01/2020,19,69,46,25,1013,1.203,Northeast
28/01/2020,17,85,47,23,1012,1.205,Northeast
4/02/2020,15,92,234,20,992,1.191,Southwest
11/02/2020,15,79,168,19,1019,1.227,South
18/02/2020,20,78,37,21,1008,1.188,Northeast
25/02/2020,17,77,51,18,1018,1.214,Northeast
3/03/2020,22,76,40,14,1000,1.172,Northeast
17/03/2020,11,62,163,11,1023,1.251,South
13/10/2020,12,85,48,24,1010,1.228,Northeast
20/10/2020,12,70,60,22,1017,1.238,Northeast
27/10/2020,11,70,151,12,1031,1.261,Southeast
3/11/2020,12,88,50,26,1021,1.24,Northeast
10/11/2020,12,70,180,10,1019,1.24,South
17/11/2020,23,46,318,12,998,1.168,Northwest
24/11/2020,13,77,58,26,1010,1.225,Northeast
1/12/2020,13,64,58,21,1018,1.236,Northeast
3/12/2020,16,47,47,24,1008,1.208,Northeast
8/12/2020,22,45,262,9,1002,1.178,West
15/12/2020,23,36,35,23,1016,1.191,Northeast
22/12/2020,20,58,106,11,1007,1.188,East
19/01/2021,16,42,336,25,985,1.181,Northwest
26/01/2021,33,22,317,21,1004,1.136,Northwest
2/02/2021,17,76,55,36,1017,1.215,Northeast
9/02/2021,21,60,41,17,994,1.169,Northeast
16/02/2021,13,58,184,12,1026,1.245,South
23/02/2021,24,42,29,15,1011,1.18,Northeast
2/03/2021,20,74,46,19,999,1.179,Northeast
16/03/2021,14,68,156,6,1016,1.225,Southeast
23/03/2021,15,85,34,22,1019,1.224,Northeast
30/03/2021,16,82,102,8,1012,1.213,East
26/10/2021,13,92,32,11,1016,1.23,Northeast
2/11/2021,11,60,168,13,1028,1.258,South
9/11/2021,14,90,48,24,1014,1.223,Northeast
23/11/2021,14,75,45,8,1014,1.224,Northeast
30/11/2021,16,76,225,10,1018,1.219,Southwest
7/12/2021,14,90,180,6,1020,1.23,South
21/12/2021,26,31,45,12,996,1.154,Northeast
18/01/2022,20,76,45,26,1007,1.187,Northeast
25/01/2022,21,70,135,5,1002,1.779,Southeast
